batch,case_id,case_position,response_label,arm,arm_name,query_id,response_sha
v611_r10,HSP_v7_026,0,A,B,OURS,Based on my overnight sl,ba714635
v611_r10,HSP_v7_026,0,B,A,BASE,Based on my overnight sl,1eb4572d
v611_r10,HSP_v7_026,0,C,C,TRUTH,Based on my overnight sl,befe36f1
v611_r10,HSP_v7_034,1,A,C,TRUTH,Based on my overnight sl,b7c281f1
v611_r10,HSP_v7_034,1,B,A,BASE,Based on my overnight sl,d42f86d3
v611_r10,HSP_v7_034,1,C,B,OURS,Based on my overnight sl,76e37b30
v611_r10,HSP_v7_041,2,A,B,OURS,Based on my overnight sl,0c08abee
v611_r10,HSP_v7_041,2,B,C,TRUTH,Based on my overnight sl,5e56969c
v611_r10,HSP_v7_041,2,C,A,BASE,Based on my overnight sl,4fd673a8
v611_r10,HSP_v7_043,3,A,C,TRUTH,Based on my overnight sl,ef4f78f8
v611_r10,HSP_v7_043,3,B,A,BASE,Based on my overnight sl,8b41780f
v611_r10,HSP_v7_043,3,C,B,OURS,Based on my overnight sl,68e7337c
v611_r10,HSP_v7_045,4,A,B,OURS,Based on my overnight sl,409e9170
v611_r10,HSP_v7_045,4,B,C,TRUTH,Based on my overnight sl,7f31d8d8
v611_r10,HSP_v7_045,4,C,A,BASE,Based on my overnight sl,12ce77fd
v611_r10,HSP_v7_059,5,A,C,TRUTH,Based on my overnight sl,bf563498
v611_r10,HSP_v7_059,5,B,A,BASE,Based on my overnight sl,b0c9a0e9
v611_r10,HSP_v7_059,5,C,B,OURS,Based on my overnight sl,a0a3ac77
v611_r10,HSP_v7_062,6,A,C,TRUTH,Based on my overnight sl,7df89b60
v611_r10,HSP_v7_062,6,B,A,BASE,Based on my overnight sl,c37ad108
v611_r10,HSP_v7_062,6,C,B,OURS,Based on my overnight sl,3448d1cd
v611_r10,HSP_v7_070,7,A,C,TRUTH,Based on my overnight sl,b7060851
v611_r10,HSP_v7_070,7,B,A,BASE,Based on my overnight sl,64c0989f
v611_r10,HSP_v7_070,7,C,B,OURS,Based on my overnight sl,61bfe834
v611_r10,HSP_v7_077,8,A,A,BASE,Based on my overnight sl,9da90375
v611_r10,HSP_v7_077,8,B,C,TRUTH,Based on my overnight sl,494d7584
v611_r10,HSP_v7_077,8,C,B,OURS,Based on my overnight sl,039f0f50
v611_r10,HSP_v7_078,9,A,C,TRUTH,Based on my overnight sl,0d53e229
v611_r10,HSP_v7_078,9,B,A,BASE,Based on my overnight sl,bff55d63
v611_r10,HSP_v7_078,9,C,B,OURS,Based on my overnight sl,fdf2a23d
